# timestamp_grid, lon_SD_grid, lat_SD_grid, taux_c_SD_grid, tauy_c_SD_grid, taux10m_c_SD_grid, tauy10m_c_SD_grid, ucur_SD_grid[:,iz], vcur_SD_grid[:,iz], ucur_SD_grid_bp[:,iz], vcur_SD_grid_bp[:,iz], tau_dot_sfcvel_SD, energy_input_SD, tau10m_dot_sfcvel_SD, energy_input_adj10m_SD
1.693755600000000000e+09 -5.200863999999999976e+01 1.999497279999999932e+01 -5.068760773964462243e-03 -3.165137885725729898e-03 -5.926912238307713299e-03 -3.638477032088162626e-03 7.299999999999995381e+00 1.959999999999999432e+01 5.689445609244452307e+00 6.060934676138780119e+00 -4.802213269609828875e-04 -5.955819775519691106e+00 -5.577341642273468333e-04 -6.906278889784985608e+00
1.693756200000000000e+09 -5.200815999999999661e+01 1.999399999999999977e+01 -8.884419886656952240e-04 -4.469223382173040209e-03 -1.006173743588526220e-03 -5.181532127268845614e-03 8.600000000000008527e+00 1.189999999999999858e+01 5.826119210197356679e+00 5.873889096979015179e+00 -3.142789143382104800e-04 -6.194169847909448912e+00 -3.629783324432825581e-04 -7.182492638786174055e+00
1.693756800000000000e+09 -5.200753600000000176e+01 1.999297119999999950e+01 -6.175403788908601739e-04 -2.812348392178289514e-03 -6.790334871292144636e-04 -3.242443036047423961e-03 1.109999999999999787e+01 6.200000000000005507e+00 5.958902777210449031e+00 5.682043709021086464e+00 -1.965974956816455654e-04 -6.347432770915405698e+00 -2.246999758710567041e-04 -7.358796131280476160e+00
1.693757400000000000e+09 -5.200693439999999867e+01 1.999214239999999876e+01 -2.438121921121857300e-03 -2.382457037077979293e-03 -2.795807924015986101e-03 -2.787539477339837264e-03 1.259999999999998899e+01 -3.400000000000003020e+00 6.087683642334731360e+00 5.485561000791378206e+00 -2.791162834588719775e-04 -6.490146904657560611e+00 -3.231121201120373604e-04 -7.523139760075403970e+00
1.693758000000000000e+09 -5.200635520000000156e+01 1.999117439999999846e+01 -2.846654038745318263e-03 -3.054802789261196454e-03 -3.296169057956349190e-03 -3.572965589863045990e-03 9.099999999999997868e+00 2.000000000000001776e-01 6.212352318056266753e+00 5.284607857901125527e+00 -3.382785264077170203e-04 -6.675365347617538525e+00 -3.935868552010105079e-04 -7.738149452669319750e+00
1.693758600000000000e+09 -5.200590720000000289e+01 1.999028480000000130e+01 -2.894076098458243929e-03 -9.674018419003677831e-04 -3.325553421882067231e-03 -1.103315993679086825e-03 9.800000000000007816e+00 5.699999999999993960e+00 6.332802605035989352e+00 5.079355338260029384e+00 -2.324139036538797780e-04 -6.846573076636017774e+00 -2.666420735556264193e-04 -7.936218131296310929e+00
1.693759200000000000e+09 -5.200544000000000011e+01 1.998885920000000027e+01 -3.658888902432997584e-03 -1.852786645171414052e-03 -4.240399160929432705e-03 -2.159373200166780742e-03 9.400000000000009237e+00 1.499999999999990230e+00 6.448931678363346798e+00 4.869978511384587705e+00 -3.261895569867738183e-04 -7.014154114828214048e+00 -3.786214556069516265e-04 -8.129797190045083610e+00
1.693759800000000000e+09 -5.200493759999999810e+01 1.998740640000000113e+01 -2.842540893145052878e-03 -2.494008240920231930e-03 -3.286199135361022802e-03 -2.902021284332867868e-03 8.499999999999996447e+00 2.299999999999990941e+00 6.560640169929063070e+00 4.656656322099180123e+00 -3.026262721068212458e-04 -7.202798863556292730e+00 -3.507328581439071464e-04 -8.348603484170341815e+00
1.693760400000000000e+09 -5.200447679999999906e+01 1.998594239999999900e+01 -3.598977000866932126e-03 -2.182889723791126783e-03 -4.177155485292338537e-03 -2.548020380107925403e-03 8.499999999999996447e+00 1.299999999999990052e+00 6.667832252032440898e+00 4.439571429471007136e+00 -3.368846977213245863e-04 -7.394652154504736785e+00 -3.916469054782347609e-04 -8.571317413256984707e+00
1.693761000000000000e+09 -5.200402559999999852e+01 1.998421120000000073e+01 -3.809753156314160758e-03 -2.003888781986812653e-03 -4.417448713945684724e-03 -2.332603528010271290e-03 9.899999999999998579e+00 2.800000000000002487e+00 6.770415719679805377e+00 4.218910029303502007e+00 -3.424783913754209054e-04 -7.598461081233760517e+00 -3.974900863248847041e-04 -8.808058510797920349e+00
