# timestamp_grid, lon_SD_grid, lat_SD_grid, taux_c_SD_grid, tauy_c_SD_grid, taux10m_c_SD_grid, tauy10m_c_SD_grid, ucur_SD_grid[:,iz], vcur_SD_grid[:,iz], ucur_SD_grid_bp[:,iz], vcur_SD_grid_bp[:,iz], tau_dot_sfcvel_SD, energy_input_SD
1.694113800000000000e+09 -6.674506239999999480e+01 2.596508959999999888e+01 -1.836369154485591529e-02 5.863454282332801470e-02 -2.307838368062112636e-02 7.351754215565702022e-02 3.000000000000002665e-01 -1.454999999999999716e+01 1.748035244574381419e+00 -1.645879017529079946e-01 -4.175091641443330441e-04 2.188960188760945869e+01
1.694114400000000000e+09 -6.674376320000000362e+01 2.596338719999999967e+01 -1.978771159862125970e-02 6.283251272495141149e-03 -2.490517983598250842e-02 7.790299616971449286e-03 -6.999999999999895195e-01 -1.589999999999998082e+01 1.774145981246174175e+00 -2.958251942951327096e-01 -3.696503303924322846e-04 2.165345403924843026e+01
1.694115000000000000e+09 -6.674247680000000571e+01 2.596286399999999972e+01 -9.209467783943327615e-03 6.764078673002237030e-02 -1.156982415203185698e-02 8.479482292376104569e-02 3.000000000000002665e-01 -1.594999999999999751e+01 1.797664441361991550e+00 -4.276780674030000728e-01 -4.548401370537820355e-04 2.140610689901456709e+01
1.694115600000000000e+09 -6.673980160000000694e+01 2.596155680000000032e+01 -1.626627517654090360e-02 6.006435133254752617e-02 -2.042367720473449444e-02 7.527423218245675451e-02 1.299999999999990052e+00 -1.600000000000001421e+01 1.818499995934973246e+00 -5.599455024268787939e-01 -6.321298472726468365e-04 2.108001590371663880e+01
1.694116200000000000e+09 -6.674135040000000174e+01 2.596247040000000084e+01 -1.967565582867442792e-02 6.402365556316659545e-02 -2.472490781426402162e-02 8.028229879924639323e-02 5.499999999999949374e-01 -1.485000000000000853e+01 1.836565753144728141e+00 -6.924250077042052309e-01 -8.046721586218291960e-04 2.064897530194829756e+01
1.694116800000000000e+09 -6.674460159999999576e+01 2.596465919999999983e+01 2.997764926036372134e-03 3.201374180968488692e-02 3.763192901539037273e-03 4.008284832900011613e-02 -2.000000000000001776e-01 -1.370000000000000107e+01 1.851778779145362153e+00 -8.249129191782711423e-01 -2.085735173514621365e-04 2.034500159915630846e+01
1.694117400000000000e+09 -6.674766080000000557e+01 2.596667199999999909e+01 -5.578006103877966061e-03 1.980019760601474388e-02 -7.006752587486279882e-03 2.474642809503313848e-02 -8.499999999999952038e-01 -1.425000000000000711e+01 1.864060286552709167e+00 -9.572046809110410504e-01 -2.935058148782842646e-04 2.019437779948738410e+01
1.694118000000000000e+09 -6.674961919999999793e+01 2.596781119999999987e+01 -6.917569254963856600e-03 -8.978885280794584450e-03 -8.549777279665536980e-03 -1.116647511074677149e-02 -1.499999999999990230e+00 -1.480000000000001315e+01 1.873335796028357425e+00 -1.089095133304717855e+00 -3.180069845014261195e-05 2.009678584548885283e+01
1.694118600000000000e+09 -6.675125119999999868e+01 2.596824319999999986e+01 -6.611590210547643211e-03 1.153711575983294452e-03 -7.831105893703230875e-03 1.294035633843919429e-03 -2.149999999999996358e+00 -1.634999999999999787e+01 1.879535288158702633e+00 -1.220378834257145551e+00 -1.383468229973639093e-04 2.004574158905460024e+01
1.694119200000000000e+09 -6.675308800000000531e+01 2.596868479999999835e+01 -4.127404210288314855e-03 -3.900588653840582776e-03 -4.897956662770863549e-03 -4.691715334282142713e-03 -2.800000000000002487e+00 -1.789999999999998437e+01 1.882593350398193310e+00 -1.350850415305926200e+00 -2.501111917716152211e-05 1.999673420640224109e+01
