# timestamp_grid lon_SD_grid lat_SD_grid taux_c_SD_grid tauy_c_SD_grid ucur_SD_grid[:,iz] vcur_SD_grid[:,iz] ucur_SD_grid_bp[:,iz] vcur_SD_grid_bp[:,iz] tau_dot_sfcvel_SD energy_input_SD
1.693995600000000000e+09 -6.591672959999999648e+01 1.985727040000000088e+01 -2.078287405615883779e-02 1.036794033338528376e-02 -3.309608659450457679e+01 9.500166527893417978e+00 -9.830432028301286929e-01 -3.937743038273956664e+00 7.863289591637383918e-03 1.120188095964859087e+02
1.693996200000000000e+09 -6.591726079999999399e+01 1.985917600000000149e+01 -2.114921614744741038e-02 1.770907037210622467e-02 -3.074804329725227703e+01 9.600083263946707746e+00 -1.184811059751207818e+00 -4.005326361924582912e+00 8.203055639039714270e-03 1.168387131656890432e+02
1.693996800000000000e+09 -6.591740160000000515e+01 1.986124639999999886e+01 -2.288279850583864461e-02 1.974982836245226317e-02 -2.839999999999998082e+01 9.699999999999997513e+00 -1.385605042525385855e+00 -4.069422910635868362e+00 8.414448126816040027e-03 1.218239642954457622e+02
1.693997400000000000e+09 -6.591742720000000588e+01 1.986322399999999888e+01 -2.333930261035307638e-02 1.798274135551794148e-02 -2.729999999999999005e+01 1.009999999999999787e+01 -1.585227236007224372e+00 -4.129940607848244127e+00 8.187886489533700157e-03 1.268046646803506832e+02
1.693998000000000000e+09 -6.591749760000000435e+01 1.986519679999999966e+01 -2.785259178420772253e-02 1.573275903029113659e-02 -2.620000000000000284e+01 1.049999999999999822e+01 -1.783481385025221577e+00 -4.186790409131217139e+00 8.949318745642993039e-03 1.319458262509036786e+02
1.693998600000000000e+09 -6.591756800000000283e+01 1.986717279999999874e+01 -2.710675782712623424e-02 1.772901223321728809e-02 -2.615000000000000568e+01 8.199999999999995737e+00 -1.980173033889606860e+00 -4.239886422998168314e+00 8.542196174917329049e-03 1.371932807270717660e+02
1.693999200000000000e+09 -6.591751680000000135e+01 1.986909440000000160e+01 -2.870173109999038866e-02 2.153712566481279234e-02 -2.610000000000001208e+01 5.899999999999994138e+00 -2.175109680112229604e+00 -4.289146047583855648e+00 8.761842231321448696e-03 1.423844922489433884e+02
1.693999800000000000e+09 -6.591764480000000503e+01 1.987092480000000094e+01 -2.672774248563002109e-02 1.486678139125869116e-02 -2.495000000000000284e+01 7.550000000000000711e+00 -2.368100937146830898e+00 -4.334490127386492198e+00 7.791013745204721994e-03 1.473503490419012394e+02
1.694000400000000000e+09 -6.591733759999999620e+01 1.987295359999999889e+01 -2.372005706257280730e-02 1.752724833043674962e-02 -2.379999999999999716e+01 9.200000000000008171e+00 -2.558958693549098218e+00 -4.375843097779605451e+00 7.257880427292509942e-03 1.518650172936503964e+02
1.694001000000000000e+09 -6.591740799999999467e+01 1.987468480000000071e+01 -2.379587390787521461e-02 1.397990207609360949e-02 -2.424999999999999289e+01 8.700000000000006395e+00 -2.747497261428806237e+00 -4.413133090886681487e+00 6.986750903279883088e-03 1.561384066928221159e+02
1.694001600000000000e+09 -6.591760639999999682e+01 1.987631680000000145e+01 -2.369315353426854412e-02 1.887136869363626943e-02 -2.469999999999998863e+01 8.200000000000006395e+00 -2.933533525398242858e+00 -4.446292024659306286e+00 7.399661155842503051e-03 1.604543303105588450e+02
1.694002200000000000e+09 -6.591750399999999388e+01 1.987797439999999938e+01 -2.689736502100445112e-02 1.981326061806370706e-02 -2.335000000000000497e+01 8.250000000000001776e+00 -3.116887100852328452e+00 -4.475255704508720456e+00 7.915128733394796723e-03 1.650487672773300289e+02
1.694002800000000000e+09 -6.591740160000000515e+01 1.987949439999999868e+01 -2.491036371033408803e-02 1.516802283458014260e-02 -2.200000000000002132e+01 8.299999999999997158e+00 -3.297380487356220691e+00 -4.499963933580087172e+00 6.739225911543656258e-03 1.694450736708116096e+02
1.694003400000000000e+09 -6.591732480000000294e+01 1.988111040000000074e+01 -2.161737590866412428e-02 1.925009605505959356e-02 -2.175000000000000355e+01 8.499999999999996447e+00 -3.474839203304041835e+00 -4.520360616959600009e+00 6.338037424814512051e-03 1.733682526717190626e+02
1.694004000000000000e+09 -6.591730560000000594e+01 1.988264159999999947e+01 -2.057607257662289260e-02 1.122947636437746435e-02 -2.149999999999998579e+01 8.699999999999995737e+00 -3.649091911846068736e+00 -4.536393856811713476e+00 5.400820047674757124e-03 1.768899099134658570e+02
1.694004600000000000e+09 -6.591722239999999999e+01 1.988414080000000084e+01 -2.230828121836950229e-02 1.436196575308065077e-02 -1.964999999999999147e+01 7.750000000000000888e+00 -3.819970549427956108e+00 -4.548016043013432430e+00 5.496629605273356013e-03 1.801591448093502947e+02
1.694005200000000000e+09 -6.591686400000000390e+01 1.988556319999999999e+01 -2.567583367873030320e-02 2.140854858699375862e-02 -1.779999999999999361e+01 6.800000000000006040e+00 -3.987310447138761926e+00 -4.555183947253212295e+00 6.026079698729569153e-03 1.836159576005511838e+02
1.694005800000000000e+09 -6.591636479999999665e+01 1.988690559999999863e+01 -2.336846509083407783e-02 2.015395570139405859e-02 -1.735000000000000142e+01 5.600000000000004974e+00 -4.150950435272129369e+00 -4.557858826081911729e+00 5.183050212537781455e-03 1.869786965739313871e+02
1.694006400000000000e+09 -6.591574400000000367e+01 1.988836480000000151e+01 -2.279889441222507016e-02 2.752421389890948381e-02 -1.690000000000000568e+01 4.400000000000003908e+00 -4.310732943066109435e+00 -4.556006530052663095e+00 5.064078567218056881e-03 1.900528352078581520e+02
1.694007000000000000e+09 -6.591488640000000032e+01 1.988985119999999895e+01 -2.266272038841169942e-02 2.920130822467031581e-02 -1.814999999999999858e+01 5.750000000000000000e+00 -4.466504111254350207e+00 -4.549597608313272090e+00 5.792358973415266850e-03 1.933097664700481459e+02
1.694007600000000000e+09 -6.591413760000000366e+01 1.989125920000000036e+01 -2.136032625144517957e-02 1.928425640656160345e-02 -1.939999999999999503e+01 7.099999999999995204e+00 -4.618113924811107829e+00 -4.538607390851131740e+00 5.513085497646237620e-03 1.967013998113665707e+02
1.694008200000000000e+09 -6.591338240000000326e+01 1.989278399999999891e+01 -2.602837945380777340e-02 2.126966161800399394e-02 -1.790000000000000568e+01 6.899999999999995026e+00 -4.765416359124595935e+00 -4.523016040099043344e+00 6.126686573873866941e-03 2.001933314328225890e+02
1.694008800000000000e+09 -6.591262720000000286e+01 1.989420000000000144e+01 -2.399055175031845205e-02 2.050880990305001608e-02 -1.640000000000001279e+01 6.699999999999994849e+00 -4.908269514846458570e+00 -4.502808589751252200e+00 5.308540750556579174e-03 2.036238996301517261e+02
1.694009400000000000e+09 -6.591196800000000167e+01 1.989556639999999987e+01 -2.128340970102322871e-02 1.933801500535377652e-02 -1.665000000000000924e+01 5.049999999999998934e+00 -5.046535724621710628e+00 -4.477974993768733647e+00 4.520257472990734868e-03 2.065725390972159232e+02
